account_id,account_type,snapshot_date,employee_count,industry,intent_score,mql_count_90d,trial_started,trial_active_users,web_touchpoints_90d,sales_contacts_90d,conversion_probability,rank,priority
ACC-01459,Suspect,2026-04-30,128,Software,40.7,4,0,0,2,7,0.06935069797198619,101,LOW
ACC-01151,Prospect,2026-06-01,44,Retail,8.0,1,1,2,0,0,0.06909317629678764,102,LOW
ACC-01177,Former Customer,2025-12-05,30,Retail,31.5,3,0,0,1,5,0.06870148587318814,103,LOW
ACC-00552,Prospect,2026-05-11,25,Software,10.1,1,1,2,2,0,0.06781443943149847,104,LOW
ACC-00479,Prospect,2026-04-23,126,Manufacturing,26.5,3,0,0,8,0,0.0663891527055778,105,LOW
ACC-00687,Prospect,2026-03-16,54,Manufacturing,,0,0,0,8,0,0.0663153776279458,106,LOW
ACC-00186,Suspect,2024-12-19,20,Manufacturing,24.6,2,0,0,7,4,0.06610790942333937,107,LOW
ACC-00086,Prospect,2026-04-14,26,Professional Services,17.9,0,1,3,4,0,0.06541165661116945,108,LOW
ACC-00438,Prospect,2024-10-31,22,Retail,4.3,3,0,0,1,0,0.06508885191105332,109,LOW
ACC-00264,Suspect,2026-06-17,46,Manufacturing,37.3,0,1,2,0,0,0.06427785553527147,110,LOW
ACC-00015,Prospect,2026-05-10,91,Software,,0,0,0,4,4,0.06404574899000844,112,LOW
ACC-00806,Prospect,2026-03-24,82,Healthcare,26.0,0,0,0,3,4,0.06404574899000844,111,LOW
ACC-00934,Prospect,2025-10-09,20,Retail,11.2,2,0,0,7,2,0.06336738305479693,113,LOW
ACC-01091,Prospect,2025-05-01,38,Professional Services,19.5,0,1,1,0,0,0.06296333076285823,114,LOW
ACC-00558,Prospect,2026-04-11,123,Software,40.6,0,1,2,4,2,0.06256893131831724,115,LOW
ACC-00191,Prospect,2026-06-22,33,Professional Services,55.4,2,0,0,1,1,0.06253597141630661,116,LOW
ACC-00908,Suspect,2025-02-22,143,Financial Services,14.4,2,1,0,0,1,0.06250432815985645,117,LOW
ACC-00315,Suspect,2026-05-18,6,Retail,,0,0,0,4,4,0.062491824676382424,118,LOW
ACC-00883,Prospect,2026-07-25,56,Financial Services,,4,0,0,6,6,0.06231185223008794,119,LOW
ACC-01020,Suspect,2026-05-07,138,Manufacturing,17.2,1,1,0,2,0,0.06191247621078547,120,LOW
ACC-01352,Former Customer,2026-04-27,115,Financial Services,,3,1,0,0,3,0.06079311905488056,121,LOW
ACC-01269,Suspect,2024-12-11,36,Manufacturing,15.2,1,1,0,4,0,0.06040697035214475,122,LOW
ACC-00564,Prospect,2026-04-19,7,Professional Services,,1,1,4,0,0,0.06038799011329074,123,LOW
ACC-00392,Prospect,2026-02-11,35,Retail,47.8,1,0,0,6,0,0.06009750825384082,124,LOW
ACC-00682,Former Customer,2025-07-14,106,Healthcare,31.2,4,0,0,2,4,0.05936432942600208,125,LOW
ACC-00483,Prospect,2026-06-30,50,Professional Services,14.8,3,1,0,0,0,0.05893482596998893,126,LOW
ACC-00776,Suspect,2026-04-05,1909,Financial Services,31.1,2,0,0,0,0,0.05839778385725003,127,LOW
ACC-01033,Suspect,2026-04-14,202,Healthcare,1.7,0,0,0,0,1,0.058188663190052246,128,LOW
ACC-00268,Former Customer,2026-06-29,97,Retail,40.6,3,0,0,5,0,0.05780248533593858,129,LOW
ACC-00067,Prospect,2026-01-30,161,Retail,7.2,1,0,0,0,3,0.0575535356773308,130,LOW
ACC-00070,Prospect,2026-03-30,130,Software,7.1,3,0,0,0,0,0.05754847747439209,131,LOW
ACC-01135,Prospect,2026-01-21,195,Retail,47.7,0,0,0,0,2,0.05750024955761579,132,LOW
ACC-00498,Prospect,2025-11-11,44,Financial Services,25.7,1,1,3,1,0,0.057175315707558697,133,LOW
ACC-01227,Suspect,2026-02-05,163,Retail,27.4,1,1,0,3,1,0.05695528772983976,134,LOW
ACC-00284,Suspect,2026-05-29,39,Manufacturing,,4,1,0,0,1,0.05691834169751893,135,LOW
ACC-00433,Former Customer,2025-03-04,291,Manufacturing,35.8,4,1,1,5,0,0.05675056282920454,136,LOW
ACC-00011,Suspect,2026-03-06,17,Manufacturing,,0,1,0,7,0,0.05665453010380998,137,LOW
ACC-01229,Prospect,2026-05-10,114,Software,12.0,1,0,0,5,0,0.0564704421190701,138,LOW
ACC-00789,Suspect,2025-09-30,91,Professional Services,53.3,1,0,0,0,0,0.05637843055562307,139,LOW
ACC-00833,Prospect,2026-05-26,295,Software,49.6,2,0,0,0,2,0.05615516210210599,140,LOW
ACC-00359,Former Customer,2026-04-29,41,Financial Services,7.5,3,0,0,0,0,0.05614273861928683,141,LOW
ACC-01337,Prospect,2026-03-24,28,Software,15.2,3,1,1,2,0,0.055794870024035784,142,LOW
ACC-01340,Prospect,2026-03-07,460,Manufacturing,22.6,1,0,0,2,3,0.055681577078425734,143,LOW
ACC-00870,Suspect,2026-03-27,61,Software,31.7,4,0,0,3,4,0.05552714020210112,144,LOW
ACC-00550,Suspect,2026-04-29,22,Professional Services,7.5,5,0,0,2,1,0.055462798655196405,145,LOW
ACC-00531,Prospect,2026-05-04,496,Software,,0,1,2,0,0,0.05536399783101281,146,LOW
ACC-00418,Suspect,2026-02-02,147,Financial Services,,1,1,0,0,1,0.05528765249595287,147,LOW
ACC-00208,Prospect,2025-07-13,20,Healthcare,,0,1,0,3,1,0.054188462657601535,148,LOW
ACC-01290,Suspect,2026-04-12,467,Professional Services,38.1,0,0,0,7,0,0.054122112913932575,149,LOW
ACC-01434,Suspect,2026-01-15,700,Financial Services,25.0,2,0,0,0,0,0.05402246211682925,151,LOW
ACC-00299,Suspect,2025-09-06,617,Software,,2,0,0,0,0,0.05402246211682925,150,LOW
ACC-01377,Prospect,2026-04-08,800,Software,,0,0,0,3,0,0.05300676339230777,152,LOW
ACC-01026,Prospect,2026-05-28,6,Professional Services,,4,0,0,5,4,0.05250022646630769,153,LOW
ACC-00366,Suspect,2026-02-13,31,Professional Services,11.7,2,0,0,5,0,0.05245428813947127,154,LOW
ACC-01293,Suspect,2025-12-20,95,Retail,22.0,0,0,0,0,2,0.05204090366953762,155,LOW
ACC-01038,Prospect,2025-11-01,31,Professional Services,19.5,0,0,0,7,1,0.051480062756581235,156,LOW
ACC-00109,Suspect,2024-11-21,112,Manufacturing,21.9,1,0,0,0,1,0.05128539230810937,157,LOW
ACC-01442,Prospect,2026-06-26,26,Healthcare,30.5,1,0,0,7,2,0.05097705590606378,158,LOW
ACC-00778,Prospect,2024-09-25,63,Software,9.5,0,0,0,0,2,0.05089660388792588,159,LOW
ACC-00369,Prospect,2025-05-04,40,Healthcare,20.3,0,0,0,0,2,0.050762452256607284,160,LOW
ACC-00049,Prospect,2026-04-22,105,Financial Services,12.1,0,0,0,0,0,0.05066287025632632,161,LOW
ACC-00980,Suspect,2026-03-16,287,Retail,20.3,0,0,0,0,2,0.05053377622921997,162,LOW
ACC-01201,Prospect,2026-04-13,53,Healthcare,,0,1,0,1,0,0.05049885106280487,163,LOW
ACC-00150,Prospect,2026-04-16,51,Financial Services,16.4,6,0,0,0,2,0.050213089907480156,164,LOW
ACC-00272,Prospect,2025-01-23,73,Financial Services,44.2,0,0,0,6,3,0.05019108787490342,165,LOW
ACC-00144,Prospect,2025-10-13,29,Financial Services,19.5,1,0,0,6,0,0.05009602515238582,166,LOW
ACC-01212,Prospect,2026-05-07,27,Software,8.1,0,0,0,1,2,0.04993657332139051,167,LOW
ACC-01192,Prospect,2026-04-03,112,Software,18.8,3,0,0,3,0,0.04957583762372842,168,LOW
ACC-00808,Prospect,2025-09-18,26,Retail,28.8,1,0,0,7,0,0.04949474169780409,169,LOW
ACC-00423,Former Customer,2026-04-28,16,Financial Services,11.0,0,0,0,0,0,0.04941650725461197,170,LOW
ACC-00275,Suspect,2026-04-05,80,Healthcare,46.3,0,0,0,0,1,0.049379659842334306,171,LOW
ACC-00960,Suspect,2026-05-04,49,Healthcare,20.5,0,0,0,0,0,0.04928605422917332,172,LOW
ACC-01266,Suspect,2026-06-14,111,Manufacturing,38.9,2,0,0,5,1,0.049173324573055385,174,LOW
ACC-00295,Prospect,2026-04-21,95,Manufacturing,37.2,2,0,0,1,0,0.049173324573055385,173,LOW
ACC-00362,Suspect,2026-05-18,97,Financial Services,15.9,0,0,0,0,3,0.04867493353581823,175,LOW
ACC-00116,Prospect,2024-10-23,100,Healthcare,42.5,0,0,0,2,3,0.048446781882751117,176,LOW
ACC-00289,Prospect,2025-06-20,50,Healthcare,19.4,0,0,0,5,0,0.048354854709791256,177,LOW
ACC-00722,Suspect,2025-04-19,105,Manufacturing,27.5,2,0,0,0,2,0.04834438472346346,178,LOW
ACC-00587,Former Customer,2026-03-22,81,Healthcare,30.1,2,0,0,0,0,0.04825028353193032,179,LOW
ACC-00471,Prospect,2026-04-26,36,Financial Services,37.9,0,0,0,0,3,0.04816326366723395,181,LOW
ACC-01257,Suspect,2025-06-06,19,Financial Services,37.6,0,0,0,0,0,0.04816326366723395,180,LOW
ACC-01349,Suspect,2026-05-04,18,Manufacturing,35.9,0,0,0,2,0,0.04796175472597977,183,LOW
ACC-00043,Suspect,2026-06-28,23,Manufacturing,43.6,0,0,0,4,3,0.04796175472597977,182,LOW
ACC-00803,Prospect,2025-11-29,75,Financial Services,18.2,1,0,0,1,2,0.047754700413511486,184,LOW
ACC-00481,Former Customer,2026-04-20,63,Healthcare,,5,0,0,0,3,0.0473981123071941,185,LOW
ACC-00906,Former Customer,2026-03-07,13,Manufacturing,14.6,0,0,0,5,2,0.04727625781623268,186,LOW
ACC-00124,Prospect,2026-04-16,52,Healthcare,44.7,0,0,0,4,0,0.04725222353561751,188,LOW
ACC-00910,Prospect,2025-07-13,19,Healthcare,47.5,1,0,0,1,2,0.04725222353561751,187,LOW
ACC-01208,Prospect,2026-04-06,5,Financial Services,47.2,0,0,0,3,1,0.04725222353561751,190,LOW
ACC-00889,Prospect,2026-06-18,16,Software,42.0,0,0,0,1,1,0.04725222353561751,189,LOW
ACC-01464,Suspect,2026-05-27,145,Professional Services,19.0,3,0,0,4,1,0.047191202610269586,191,LOW
ACC-01456,Prospect,2026-04-27,30,Manufacturing,33.4,2,0,0,0,3,0.047152226083723534,192,LOW
ACC-00376,Former Customer,2026-05-10,40,Financial Services,29.2,2,0,0,0,0,0.04706033064906185,193,LOW
ACC-00080,Former Customer,2026-05-14,68,Manufacturing,14.7,2,0,0,5,0,0.0470583256440241,194,LOW
ACC-00416,Prospect,2026-05-23,117,Manufacturing,27.4,0,0,0,0,1,0.04693483750103314,195,LOW
ACC-00345,Suspect,2026-05-01,53,Manufacturing,,5,0,0,6,3,0.04686504024734423,196,LOW
ACC-00779,Suspect,2026-04-27,103,Software,30.3,0,0,0,4,3,0.04672803734251503,197,LOW
ACC-01225,Prospect,2026-06-09,37,Financial Services,13.4,2,0,0,4,3,0.04657637152526575,198,LOW
ACC-00541,Suspect,2026-04-22,136,Manufacturing,31.5,2,0,0,1,3,0.04631195067318344,199,LOW
ACC-00317,Prospect,2026-05-19,87,Healthcare,29.8,1,0,0,0,1,0.04623976034430191,200,LOW
ACC-00537,Prospect,2025-06-10,14,Professional Services,9.9,0,0,0,2,0,0.046148349023860266,201,LOW
ACC-00288,Suspect,2026-05-26,71,Manufacturing,30.3,0,0,0,3,0,0.04604590978124486,202,LOW
ACC-00800,Suspect,2025-08-06,14,Retail,31.8,0,0,0,6,0,0.04584148953542082,203,LOW
ACC-00536,Prospect,2026-04-17,47,Software,,0,0,0,7,1,0.04575404761667957,204,LOW
ACC-01263,Former Customer,2026-05-26,290,Software,30.4,0,0,0,0,0,0.045742444853988935,205,LOW
ACC-00586,Prospect,2026-02-25,25,Healthcare,27.2,0,0,0,3,2,0.045573828573704685,206,LOW
ACC-01185,Former Customer,2026-05-24,125,Manufacturing,24.8,1,0,0,0,2,0.04553259304095147,207,LOW
ACC-00561,Prospect,2025-05-21,82,Professional Services,13.7,0,0,0,4,2,0.04545347414143641,208,LOW
ACC-00967,Suspect,2026-04-27,76,Manufacturing,,2,0,0,6,2,0.04542453825799201,209,LOW
ACC-00313,Prospect,2026-05-02,466,Retail,,2,0,0,4,2,0.04533729386290236,210,LOW
ACC-00429,Suspect,2026-04-24,132,Financial Services,27.8,2,0,0,0,1,0.04514835308398435,211,LOW
ACC-00852,Prospect,2025-08-22,12,Financial Services,29.7,2,0,0,0,0,0.04509704172765395,212,LOW
ACC-00476,Suspect,2026-03-23,163,Financial Services,17.6,0,0,0,2,0,0.04501104925329575,213,LOW
ACC-00702,Prospect,2025-08-15,47,Professional Services,41.9,0,0,0,5,1,0.0449740672629575,214,LOW
ACC-01145,Prospect,2025-10-01,187,Manufacturing,33.5,0,0,0,2,3,0.044962866771661114,215,LOW
ACC-00707,Prospect,2026-05-22,163,Manufacturing,33.0,2,0,0,1,2,0.044962866771661114,216,LOW
ACC-00619,Prospect,2025-09-24,130,Financial Services,47.5,3,0,0,0,3,0.044887585320497324,217,LOW
ACC-00898,Prospect,2025-12-30,480,Retail,,3,0,0,0,0,0.04486286529064051,218,LOW
ACC-00093,Prospect,2025-06-24,224,Healthcare,27.9,1,0,0,1,2,0.044295636031912104,219,LOW
ACC-01495,Suspect,2025-03-01,16,Financial Services,26.7,0,0,0,5,0,0.04424130540265228,221,LOW
ACC-00001,Suspect,2026-06-24,38,Software,33.8,2,0,0,3,0,0.04424130540265228,220,LOW
ACC-00748,Prospect,2026-03-17,99,Professional Services,16.3,1,0,0,5,0,0.04412430729869489,222,LOW
ACC-01164,Suspect,2026-02-26,10,Retail,26.6,5,0,0,0,0,0.04409313096407761,223,LOW
ACC-00358,Prospect,2026-03-19,79,Financial Services,,3,0,0,0,2,0.04402322521522538,224,LOW
ACC-00598,Suspect,2024-12-21,92,Software,25.2,1,0,0,0,2,0.04402322521522538,226,LOW
ACC-01271,Prospect,2026-04-10,68,Healthcare,26.5,0,0,0,0,2,0.04402322521522538,225,LOW
ACC-00453,Former Customer,2026-03-18,236,Professional Services,29.1,0,0,0,1,3,0.04399477356299452,227,LOW
ACC-00077,Prospect,2025-05-01,54,Software,,0,0,0,6,2,0.04364317219105336,229,LOW
ACC-01300,Prospect,2025-11-21,52,Financial Services,,2,0,0,6,2,0.04364317219105336,228,LOW
ACC-00824,Former Customer,2025-12-27,323,Retail,,0,0,0,0,2,0.043548660393990156,230,LOW
ACC-00267,Former Customer,2026-04-08,134,Financial Services,,0,0,0,0,0,0.043544776166441916,231,LOW
ACC-00940,Former Customer,2026-05-07,42,Financial Services,,0,0,0,0,0,0.04349520426730126,232,LOW
ACC-01354,Former Customer,2026-04-10,18,Financial Services,,1,0,0,0,0,0.04349520426730126,233,LOW
ACC-01353,Suspect,2025-11-05,74,Financial Services,,1,0,0,6,1,0.04344122402882726,234,LOW
ACC-00420,Prospect,2026-03-13,77,Software,,1,0,0,6,0,0.04344122402882726,235,LOW
ACC-01144,Suspect,2026-06-27,104,Software,,0,0,0,3,2,0.04318694349159036,237,LOW
ACC-00386,Prospect,2026-01-11,80,Healthcare,,2,0,0,2,2,0.04318694349159036,236,LOW
ACC-00752,Suspect,2026-03-21,94,Professional Services,30.8,1,0,0,4,1,0.04317215438181317,238,LOW
ACC-00136,Suspect,2025-04-14,15,Financial Services,15.0,4,0,0,4,0,0.043009661004727764,239,LOW
ACC-01299,Suspect,2026-01-28,231,Retail,32.1,0,0,0,1,0,0.04299880193329349,240,LOW
ACC-00095,Suspect,2026-06-30,16,Retail,,0,0,0,0,3,0.042932817864562246,242,LOW
ACC-00228,Prospect,2026-05-21,8,Healthcare,,2,0,0,0,2,0.042932817864562246,241,LOW
ACC-00701,Prospect,2026-05-24,200,Financial Services,39.0,3,0,0,3,0,0.04274989369118983,243,LOW
ACC-01311,Prospect,2026-05-27,71,Retail,,0,0,0,0,1,0.04273400981767612,244,LOW
ACC-01168,Former Customer,2025-11-14,19,Software,,0,0,0,3,0,0.042668505333207284,245,LOW
ACC-01178,Prospect,2026-04-27,92,Manufacturing,,0,0,0,4,0,0.04255420063730961,246,LOW
ACC-00876,Prospect,2026-04-29,153,Financial Services,,1,0,0,2,3,0.042164407031944365,247,LOW
ACC-00901,Prospect,2026-04-06,29,Financial Services,,2,0,0,1,2,0.04211633736574739,251,LOW
ACC-01235,Prospect,2026-03-07,9,Healthcare,,0,0,0,4,3,0.04211633736574739,250,LOW
ACC-00130,Prospect,2026-03-05,19,Healthcare,,0,0,0,1,3,0.04211633736574739,249,LOW
ACC-01165,Prospect,2026-04-03,65,Healthcare,,1,0,0,3,2,0.04211633736574739,252,LOW
ACC-00732,Suspect,2025-04-14,22,Software,,2,0,0,3,3,0.04211633736574739,253,LOW
